ID,Nombre de la comunidad,Priori_500,Justifi_Prio_500,Priori_1000,Priorizadas,Cod_DANE_Dep,Departamento,Cod_DANE_Mun,Municipio,Región geográfica,18.¿Cúantas viviendas hay en su comunidad?,Inversión Estimada,Potencia Estimada kWp,x,y
17765,JUNTA DE ACCION COMUNAL LA ESTRELLA,NO,N.A,NO,NO,41,HUILA,41799,TELLO,ANDINA,,338000000,30,-75.0853624532,3.03060881644
17766,IE EL PALMAR,NO,N.A,NO,NO,23,CÓRDOBA,23466,MONTELÍBANO,CARIBE,,972000000,20,-75.7606822297999,7.88632292388
17767,ASOCIACION MUJERES CAMPESINAS DE PAZ VEREDA PAVA,NO,N.A,NO,NO,13,BOLÍVAR,13433,MAHATES,CARIBE,,338000000,30,-75.247192693,10.075697975
17768,IE TIERRADENTRO,NO,N.A,NO,NO,23,CÓRDOBA,23466,MONTELÍBANO,CARIBE,,972000000,20,-75.88553,7.82578
17769,JUNTA DE ACCION COMUNAL VEREDA LAGUNA GRINGO,NO,N.A,NO,NO,50,META,50590,PUERTO RICO,ORINOQUÍA,,972000000,20,-73.0053457949999,2.467375809
17770,JUNTA DE ACCION COMUNAL DE CORREGIMIENTO LABARCE,NO,N.A,NO,NO,70,SUCRE,70713,SAN ONOFRE,CARIBE,,338000000,30,-75.541617782,9.98427282099999
17771,COMUNIDAD INDIGENA NASA YU CXIJME,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,338000000,30,-76.4642887509999,0.701199833
17772,JUNTA DE ACCION COMUNAL VEREDA LA TIGRA,NO,N.A,NO,NO,50,META,50590,PUERTO RICO,ORINOQUÍA,,972000000,20,-73.0453101389999,2.439288966
17773,VEREDA MATEACANA,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,972000000,20,-76.4348742509999,0.770536167
17774,IE SAN FRANCISCO DEL RAYO ,NO,N.A,NO,NO,23,CÓRDOBA,23466,MONTELÍBANO,CARIBE,,972000000,20,-75.757862832,8.123287309
17775,ASOCIACION DE CABILDO INDIGENAS  PROYECTO NASA,NO,N.A,NO,NO,19,CAUCA,19821,TORIBIO,PACÍFICA,12000,3396923077,920,-76.2677122279999,2.955489769
17776,JUNTA DE ACCION COMUNAL VEREDA BARCELONA,NO,N.A,NO,NO,23,CÓRDOBA,23068,AYAPEL,CARIBE,36,676000000,60,-75.0486843568999,8.26576868812
17777,ASOCIACION UNION NACIONAL DE COMERCIANTES DE SANTA MARTA  UNDECO SANTA MARTA,NO,N.A,NO,NO,47,MAGDALENA,47001,SANTA MARTA,CARIBE,,338000000,30,-74.2007449,11.2319727999999
17778,VEREDA NUEVA ARABIA,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,338000000,30,-76.4227024169999,0.704546833
17779,ASOJUNTAS TAMALAMEQUE ,NO,N.A,NO,NO,20,CESAR,20787,TAMALAMEQUE,CARIBE,,338000000,30,-73.7633868045,8.90209050114999
17780,VEREDA PALMAR DEL PICUDO,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,,972000000,20,-76.374926,0.76622
17781,VEREDA PLATANILLO,NO,N.A,NO,NO,86,PUTUMAYO,86569,PUERTO CAICEDO,AMAZÓNICA,93,2028000000,180,-76.5723579999999,0.674643
